cloud_provider,category,service,description,id
aws,Analytics,Amazon Athena,An interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL.,95825a76
aws,Analytics,Amazon CloudSearch,A managed service in the AWS Cloud that makes it simple to set up manage and scale a search solution for your website or application.,4d78b518
aws,Analytics,Amazon Elastic MapReduce,A web service that makes it easy to process large amounts of data efficiently.,1f41d3e8
aws,Analytics,Amazon Elasticsearch Service,A managed service that makes it easy to deploy operate and scale Elasticsearch clusters in the AWS Cloud.,cd65ebc2
aws,Analytics,Amazon EMR,"A cloud big data platform for processing vast amounts of data using open-source tools such as Apache Spark, Apache Hive and Apache HBase.",65e1ebb7
aws,Analytics,Amazon Kinesis,A platform on AWS to collect process and analyze real-time streaming data.,922e1a29
aws,Analytics,Amazon Kinesis Analytics,Enables you to process and analyze streaming data using standard SQL.,bf62df4f
aws,Analytics,Amazon Kinesis Firehose,A fully managed service for delivering real-time streaming data to destinations such as Amazon S3 and Amazon Redshift.,394bc30c
aws,Analytics,Amazon QuickSight,A fast cloud-powered business intelligence service that makes it easy to deliver insights to everyone in your organization.,021db62d
aws,Analytics,AWS Data Pipeline,A web service that helps you reliably process and move data between different AWS compute and storage services.,85c52d9d
aws,Analytics,AWS Glue,A fully managed extract transform and load (ETL) service that makes it easy to prepare and load data for analytics.,f1506165
aws,Analytics,AWS IoT,A platform that enables you to connect devices to the cloud and interact with cloud applications and other devices.,5b2ca3d5
aws,Analytics,AWS IoT Analytics,A fully managed service that makes it easy to run and operationalize sophisticated analytics on massive volumes of IoT data.,67a4d595
aws,Analytics,AWS Greengrass,Extends AWS to edge devices so they can act locally on the data they generate while still using the cloud for management analytics and durable storage.,1824e0ec
aws,Analytics,StreamSets Data Collector,A lightweight powerful design and execution engine that streams data in real-time.,901649f2
aws,Analytics,StreamSets Transformer (Small),A data transformation engine that allows you to build and execute data pipelines.,82b2ab11
aws,Analytics,Teradata Vantage Enterprise (DIY),A cloud data analytics platform that unifies analytics data lakes and data warehouses.,8b0c87d2
aws,Analytics,Amazon Elasticsearch Service Reserved Instance,A reserved instance for Amazon Elasticsearch Service.,053085eb
aws,Analytics,Amazon Managed Griffin,A managed service for data analytics.,505d84af
aws,Analytics,Alation Data Catalog,A data catalog that helps organizations find understand and trust their data.,bddd519b
aws,Artificial Intelligence,Amazon Comprehend,A natural language processing (NLP) service that uses machine learning to find insights and relationships in text.,5f8681e3
aws,Artificial Intelligence,Amazon Lex,A service for building conversational interfaces into any application using voice and text.,a0a9fc43
aws,Artificial Intelligence,Amazon Machine Learning,A service that makes it easy for developers of all skill levels to use machine learning technology.,ce5e7569
aws,Artificial Intelligence,Amazon Polly,A service that turns text into lifelike speech.,7299e8e7
aws,Artificial Intelligence,Amazon Rekognition,A service that makes it easy to add image and video analysis to your applications.,8191d857
aws,Artificial Intelligence,Amazon Translate,A neural machine translation service that delivers fast high-quality and affordable language translation.,256abe5f
aws,Artificial Intelligence,Apache MXNet on AWS,A deep learning framework that allows you to define train and deploy neural networks.,749febd8
aws,Artificial Intelligence,AWS Deep Learning AMIs,Provides machine learning practitioners and researchers with the infrastructure and tools to accelerate deep learning in the cloud.,c1722a18
aws,Artificial Intelligence,TensorFlow on AWS,An open-source software library for dataflow and differentiable programming across a range of tasks.,fb4c1185
