cloud_provider,category,service,description
aws,Analytics,Amazon Athena,An interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL.
aws,Analytics,Amazon CloudSearch,A managed service in the AWS Cloud that makes it simple to set up manage and scale a search solution for your website or application.
aws,Analytics,Amazon Elastic MapReduce,A web service that makes it easy to process large amounts of data efficiently.
aws,Analytics,Amazon Elasticsearch Service,A managed service that makes it easy to deploy operate and scale Elasticsearch clusters in the AWS Cloud.
aws,Analytics,Amazon EMR,"A cloud big data platform for processing vast amounts of data using open-source tools such as Apache Spark, Apache Hive and Apache HBase."
aws,Analytics,Amazon Kinesis,A platform on AWS to collect process and analyze real-time streaming data.
aws,Analytics,Amazon Kinesis Analytics,Enables you to process and analyze streaming data using standard SQL.
aws,Analytics,Amazon Kinesis Firehose,A fully managed service for delivering real-time streaming data to destinations such as Amazon S3 and Amazon Redshift.
aws,Analytics,Amazon QuickSight,A fast cloud-powered business intelligence service that makes it easy to deliver insights to everyone in your organization.
aws,Analytics,AWS Data Pipeline,A web service that helps you reliably process and move data between different AWS compute and storage services.
aws,Analytics,AWS Glue,A fully managed extract transform and load (ETL) service that makes it easy to prepare and load data for analytics.
aws,Analytics,AWS IoT,A platform that enables you to connect devices to the cloud and interact with cloud applications and other devices.
aws,Analytics,AWS IoT Analytics,A fully managed service that makes it easy to run and operationalize sophisticated analytics on massive volumes of IoT data.
aws,Analytics,AWS Greengrass,Extends AWS to edge devices so they can act locally on the data they generate while still using the cloud for management analytics and durable storage.
aws,Analytics,StreamSets Data Collector,A lightweight powerful design and execution engine that streams data in real-time.
aws,Analytics,StreamSets Transformer (Small),A data transformation engine that allows you to build and execute data pipelines.
aws,Analytics,Teradata Vantage Enterprise (DIY),A cloud data analytics platform that unifies analytics data lakes and data warehouses.
aws,Analytics,Amazon Elasticsearch Service Reserved Instance,A reserved instance for Amazon Elasticsearch Service.
aws,Analytics,Amazon Managed Griffin,A managed service for data analytics.
aws,Analytics,Alation Data Catalog,A data catalog that helps organizations find understand and trust their data.
aws,Artificial Intelligence,Amazon Comprehend,A natural language processing (NLP) service that uses machine learning to find insights and relationships in text.
aws,Artificial Intelligence,Amazon Lex,A service for building conversational interfaces into any application using voice and text.
aws,Artificial Intelligence,Amazon Machine Learning,A service that makes it easy for developers of all skill levels to use machine learning technology.
aws,Artificial Intelligence,Amazon Polly,A service that turns text into lifelike speech.
aws,Artificial Intelligence,Amazon Rekognition,A service that makes it easy to add image and video analysis to your applications.
aws,Artificial Intelligence,Amazon Translate,A neural machine translation service that delivers fast high-quality and affordable language translation.
aws,Artificial Intelligence,Apache MXNet on AWS,A deep learning framework that allows you to define train and deploy neural networks.
aws,Artificial Intelligence,AWS Deep Learning AMIs,Provides machine learning practitioners and researchers with the infrastructure and tools to accelerate deep learning in the cloud.
aws,Artificial Intelligence,TensorFlow on AWS,An open-source software library for dataflow and differentiable programming across a range of tasks.
aws,Artificial Intelligence,Alexa for Business,A service that enables organizations and employees to use Alexa to get more work done.
aws,Artificial Intelligence,Amazon Textract,A service that automatically extracts text and data from scanned documents.
aws,Artificial Intelligence,Amazon Kendra,An intelligent search service powered by machine learning.
aws,Artificial Intelligence,Amazon Forecast,A fully managed service that uses machine learning to deliver highly accurate forecasts.
aws,Artificial Intelligence,Amazon Personalize,A machine learning service that makes it easy for developers to create individualized recommendations for customers.
aws,Artificial Intelligence,Product Discovery and Search,A service that helps users find products and services.
aws,Artificial Intelligence,Claude Instant (12K) (Amazon Bedrock Edition),A language model for natural language understanding and generation.
aws,Artificial Intelligence,SDXL Beta V0.8 (Amazon Bedrock Edition),A beta version of a language model for natural language understanding and generation.
aws,Artificial Intelligence,Data Labeling Services by iMerit,A service that provides data labeling for machine learning.
aws,Artificial Intelligence,Jurassic-2 Mid (Amazon Bedrock Edition),A language model for natural language understanding and generation.
aws,Artificial Intelligence,Jurassic-2 Ultra (Amazon Bedrock Edition),A language model for natural language understanding and generation.
aws,Artificial Intelligence,Claude(12K) (Amazon Bedrock Edition),A language model for natural language understanding and generation.
aws,Charge,APN Annual Program Fee,An annual fee for the AWS Partner Network program.
aws,Charge,OCBFinance Charge,A finance charge for AWS services.
aws,Compute Savings Plan,Savings Plans for AWS Compute usage,A flexible pricing model that offers significant savings on AWS usage.
aws,Compute Reserved,Amazon Reserved Instance,A reservation of capacity for Amazon EC2 instances.
aws,Compute,Amazon API Gateway,A fully managed service that makes it easy for developers to create publish maintain monitor and secure APIs.
aws,Other,Unassociated Cost,Costs that are not associated with any specific service.
aws,Compute,Amazon EC2,A web service that provides resizable compute capacity in the cloud.
aws,Compute,Amazon EC2 Container Registry,A fully managed Docker container registry that makes it easy for developers to store manage and deploy Docker container images.
aws,Compute,Amazon EC2 Container Registry (ECR),"A fully managed Docker container registry that makes it easy for developers to store, manage, and deploy Docker container images."
aws,Compute,Amazon EC2 Container Service,"A highly scalable, high-performance container management service."
aws,Compute,Amazon Elastic Compute Cloud,A web service that provides resizable compute capacity in the cloud.
aws,Compute,Amazon Elastic Container Service for Kubernetes,A managed service that makes it easy to run Kubernetes on AWS without needing to install and operate your own Kubernetes control plane.
aws,Compute,Amazon Elastic Container Service,"A highly scalable, high-performance container management service."
aws,Compute,Amazon Elastic Load Balancer,A load balancing service for AWS deployments.
aws,Compute,Amazon Lightsail,A simplified cloud platform that offers everything you need to build an application or website.
aws,Compute,Amazon Managed Streaming for Apache Kafka,A fully managed service that makes it easy to build and run applications that use Apache Kafka to process streaming data.
aws,Compute,Amazon Virtual Private Cloud,A service that lets you provision a logically isolated section of the AWS cloud where you can launch AWS resources in a virtual network.
aws,Compute,Microsoft Windows Server 2008 R2,A version of the Windows Server operating system.
aws,Compute,OpenLDAP - Open Source Directory Services powered by TurnKey Linux (HVM),An open-source implementation of the Lightweight Directory Access Protocol.
aws,Compute,Auto Scaling,A service that automatically adjusts the number of Amazon EC2 instances in response to changing demand.
aws,Compute,AWS Batch,"A fully managed service that enables developers, scientists, and engineers to easily and efficiently run hundreds of thousands of batch computing jobs."
aws,Compute,AWS CodeArtifact,"A fully managed artifact repository service that makes it easy for organizations to securely store, publish, and share software packages."
aws,Compute,AWS CodeBuild,"A fully managed continuous integration service that compiles source code, runs tests, and produces software packages that are ready to deploy."
aws,Compute,AWS CodeCommit,A fully managed source control service that makes it easy for teams to host secure and scalable Git repositories.
aws,Compute,AWS CodeDeploy,"A service that automates code deployments to any instance, including Amazon EC2 instances and instances running on-premises."
aws,Compute,AWS CodePipeline,A continuous integration and continuous delivery service for fast and reliable application and infrastructure updates.
aws,Compute,AWS CodeStar,"A service that enables you to quickly develop, build, and deploy applications on AWS."
aws,Compute,AWS Elastic Beanstalk,An easy-to-use service for deploying and scaling web applications and services.
aws,Compute,AWS Lambda,A compute service that lets you run code without provisioning or managing servers.
aws,Compute,AWS Step Functions,A serverless orchestration service that lets you combine AWS Lambda functions and other AWS services to build business-critical applications.
aws,Compute,CodeBuild,"A fully managed continuous integration service that compiles source code, runs tests, and produces software packages that are ready to deploy."
aws,Compute,Elastic Load Balancing,A load balancing service for AWS deployments.
aws,Compute,PHP 7 - Zend Server Developer Edition (Ubuntu),A PHP application server for developing and deploying PHP applications.
aws,Compute,Rhel8 Lampstack,A LAMP stack on Red Hat Enterprise Linux 8.
aws,Compute,AWS Tools & SDKs,Tools and SDKs for developing applications on AWS.
aws,Compute,NGINX Plus Basic - Amazon Linux 2 (LTS) AMI,"A high-performance web server, load balancer, and reverse proxy."
aws,Compute,NGINX Plus Basic - Amazon Linux AMI,"A high-performance web server, load balancer, and reverse proxy."
aws,Compute,NGINX Plus Premium - Amazon Linux 2 (LTS) AMI,"A high-performance web server, load balancer, and reverse proxy."
aws,Compute,Ubuntu 17.04 SELinux enforcing AMI with ec2-user context,An Ubuntu AMI with SELinux enforcing.
aws,Compute,Secured Visual Studio Professional 2019 on Windows Server 2019,A secured version of Visual Studio Professional 2019 on Windows Server 2019.
aws,Compute,Rocky Linux 8 with LVM,A version of Rocky Linux 8 with Logical Volume Management.
aws,Compute,CentOS 7 w/Support by SupportedImages,A version of CentOS 7 with support.
aws,Compute,Flow Logs for VPC,A feature that enables you to capture information about the IP traffic going to and from network interfaces in your VPC.
aws,Compute Reserved,Amazon Redshift reserved node,A reserved node for Amazon Redshift.
aws,Database,Amazon Keyspaces (for Apache Cassandra),Managed Cassandra-compatible database service
aws,Database,Amazon Neptune,Graph database service
aws,Database Reserved,Amazon Reserved DB Instance,Reserved instances for database services
aws,Database,Amazon Aurora,High-performance managed relational database
aws,Database,Amazon DocumentDB (with MongoDB compatibility),Managed MongoDB-compatible database service
aws,Database,Amazon DynamoDB,Managed NoSQL database service
aws,Database,Amazon DynamoDB Accelerator,In-memory caching for DynamoDB
aws,Database,Amazon ElastiCache,In-memory caching service
aws,Database,Amazon RDS,Managed relational database service
aws,Database,Amazon RDS Service,Managed relational database service
aws,Database,Amazon Redshift,Data warehousing service
aws,Database,Amazon Relational Database Service,Managed relational database service
aws,Database,Amazon SimpleDB,NoSQL database service
aws,Database,AWS Database Migration Service,Service to migrate databases to AWS
aws,Database,DynamoDB Accelerator (DAX),In-memory caching for DynamoDB
aws,Database,Amazon Quantum Ledger Database,Managed ledger database service
aws,Database,Amazon MemoryDB,Redis-compatible in-memory database service
aws,Database,Amazon Timestream,Time series database service
aws,Monitoring,Amazon CloudWatch,Monitoring and observability service
aws,Monitoring,Amazon EC2 Systems Manager,Manage EC2 instances
aws,Monitoring,AmazonCloudWatch,Monitoring and observability service
aws,Monitoring,AWS CloudFormation,Infrastructure as code service
aws,Monitoring,AWS CloudTrail,Logging and monitoring of AWS account activity
aws,Monitoring,AWS Cost and Usage Report,Cost and usage reporting service
aws,Monitoring,AWS OpsWorks,Configuration management service
aws,Monitoring,AWS Personal Health Dashboard,Personalized view of AWS service health
aws,Monitoring,AWS Systems Manager,Manage AWS resources
aws,Monitoring,AWS X-Ray,Distributed tracing service
aws,Monitoring,Reserved Instance Reporting,Reporting for reserved instances
aws,Network,Amazon CloudFront,Content delivery network service
aws,Network,Amazon Elastic IP,Static IP addresses for AWS resources
aws,Network,Amazon Route 53,Scalable DNS and domain name registration service
aws,Network,Amazon VPC,Virtual private cloud service
aws,Network,AWS Data Transfer,Data transfer service
aws,Network,AWS Direct Connect,Dedicated network connection to AWS
aws,Network,Network Security Rules,Network security management
aws,Network,OpenVPN,VPN service
aws,Network,OpenVPN Access Server (10 Connected Devices),VPN service for up to 10 devices
aws,Network,AWS Global Accelerator,Global traffic management service
aws,Network,Cisco Cloud Services Router (CSR) 1000V - Security Pkg. Max Performance,Virtual router with security features
aws,Network,Cisco Cloud Services Router (CSR) 1000V - AX Pkg. Max Performance,Virtual router with advanced features
aws,Network,AWS Network Firewall,Managed network firewall service
aws,Security,Amazon Cloud Directory,Directory service for organizing hierarchies of data
aws,Security,Amazon Inspector,Automated security assessment service
aws,Security,Amazon Macie,Data security and privacy service
aws,Security,AWS Artifact,Compliance and audit reporting service
aws,Security,AWS Certificate Manager,Manage SSL/TLS certificates
aws,Security,AWS CloudHSM,Hardware security module service
aws,Security,AWS Firewall Manager,Centralized firewall management service
aws,Security,AWS Identity and Access Management,Manage access to AWS resources
aws,Security,AWS Key Management Service,Managed encryption key service
aws,Security,AWS Organizations,Manage multiple AWS accounts
aws,Security,AWS Secrets Manager,Manage secrets and credentials
aws,Security,AWS Security Hub,Centralized security management service
aws,Security,AWS Shield,DDoS protection service
